state_name,system:time_start,Urban_SOL,Agriculture_SOL,Urban_SOL_Change,Area (km²),GSDP(INR billions)
Andhra Pradesh,"Jan 1, 2013","53,707.87","2,96,775.73","53,707.87","1,62,975",4643
Andhra Pradesh,"Jan 1, 2014","52,631.41","2,90,064.78","-1,076.46","1,62,975",5250
Andhra Pradesh,"Jan 1, 2015","58,291.84","3,33,503.99","5,660.44","1,62,975",6042
Andhra Pradesh,"Jan 1, 2016","58,261.05","2,71,125.27",-30.792,"1,62,975",6844
Andhra Pradesh,"Jan 1, 2017","59,820.13","4,04,546.10","1,559.08","1,62,975",7861
Andhra Pradesh,"Jan 1, 2018","62,342.32","4,44,081.90","2,522.18","1,62,975",8737
Andhra Pradesh,"Jan 1, 2019","64,296.24","4,52,881.59","1,953.92","1,62,975",9258
Andhra Pradesh,"Jan 1, 2020","61,251.45","5,04,152.89","-3,044.79","1,62,975",9786
Andhra Pradesh,"Jan 1, 2021","61,661.37","5,17,045.26",409.913,"1,62,975",11485
Arunachal Pradesh,"Jan 1, 2013",250.032,"15,104.92",250.032,"83,743",146
Arunachal Pradesh,"Jan 1, 2014",261.52,"10,302.99",11.487,"83,743",180
Arunachal Pradesh,"Jan 1, 2015",231.811,"13,755.82",-29.709,"83,743",185
Arunachal Pradesh,"Jan 1, 2016",240.803,"6,382.77",8.992,"83,743",199
Arunachal Pradesh,"Jan 1, 2017",321.587,"18,945.02",80.784,"83,743",225
Arunachal Pradesh,"Jan 1, 2018",367.19,"17,366.19",45.603,"83,743",253
Arunachal Pradesh,"Jan 1, 2019",398.983,"19,472.63",31.793,"83,743",300
Arunachal Pradesh,"Jan 1, 2020",355.111,"26,909.76",-43.872,"83,743",305
Arunachal Pradesh,"Jan 1, 2021",367.062,"29,001.34",11.951,"83,743",327
Assam,"Jan 1, 2013","8,159.84","1,42,266.70","8,159.84","78,438",1777
Assam,"Jan 1, 2014","8,886.17","1,40,560.45",726.333,"78,438",1957
Assam,"Jan 1, 2015","8,773.15","1,69,395.61",-113.019,"78,438",2280
Assam,"Jan 1, 2016","7,269.09","1,48,298.65","-1,504.06","78,438",2544
Assam,"Jan 1, 2017","6,796.88","1,74,534.63",-472.21,"78,438",2832
Assam,"Jan 1, 2018","7,871.71","1,77,379.31","1,074.82","78,438",3093
Assam,"Jan 1, 2019","8,449.54","1,68,510.76",577.837,"78,438",3469
Assam,"Jan 1, 2020","9,277.08","1,87,439.33",827.534,"78,438",3398
Assam,"Jan 1, 2021","10,042.20","2,04,541.44",765.124,"78,438",4107
Bihar,"Jan 1, 2013","35,996.88","1,97,846.71","35,996.88","94,163",3171
Bihar,"Jan 1, 2014","38,011.50","2,45,221.07","2,014.62","94,163",3430
Bihar,"Jan 1, 2015","37,502.32","3,24,436.06",-509.18,"94,163",3716
Bihar,"Jan 1, 2016","42,046.57","3,63,719.37","4,544.25","94,163",4211
Bihar,"Jan 1, 2017","44,959.64","4,91,569.55","2,913.07","94,163",4687
Bihar,"Jan 1, 2018","52,363.35","5,83,868.30","7,403.71","94,163",5280
Bihar,"Jan 1, 2019","61,041.33","6,06,485.92","8,677.97","94,163",5819
Bihar,"Jan 1, 2020","69,075.88","6,81,358.24","8,034.56","94,163",5678
Bihar,"Jan 1, 2021","71,195.24","7,05,043.53","2,119.35","94,163",6474
Chhattisgarh,"Jan 1, 2013","48,203.43","2,96,669.85","48,203.43","1,35,192",2068
Chhattisgarh,"Jan 1, 2014","48,936.20","3,09,381.73",732.768,"1,35,192",2211
Chhattisgarh,"Jan 1, 2015","49,037.41","3,46,370.66",101.207,"1,35,192",2252
Chhattisgarh,"Jan 1, 2016","44,432.86","2,94,974.32","-4,604.55","1,35,192",2628
Chhattisgarh,"Jan 1, 2017","43,303.77","3,76,844.21","-1,129.09","1,35,192",2827
Chhattisgarh,"Jan 1, 2018","44,624.09","3,91,935.76","1,320.32","1,35,192",3271
Chhattisgarh,"Jan 1, 2019","45,295.33","3,74,667.98",671.248,"1,35,192",3447
Chhattisgarh,"Jan 1, 2020","46,331.85","4,00,643.13","1,036.52","1,35,192",3523
Chhattisgarh,"Jan 1, 2021","45,292.72","4,28,674.11","-1,039.14","1,35,192",4105
Goa,"Jan 1, 2013","1,296.16","11,634.64","1,296.16","3,702",359
Goa,"Jan 1, 2014","1,247.44","10,813.33",-48.716,"3,702",478
Goa,"Jan 1, 2015","1,108.00","10,465.48",-139.44,"3,702",551
Goa,"Jan 1, 2016","1,215.34","11,148.50",107.338,"3,702",630
Goa,"Jan 1, 2017","1,244.16","11,962.09",28.819,"3,702",694
Goa,"Jan 1, 2018","1,358.22","12,962.57",114.066,"3,702",719
Goa,"Jan 1, 2019","1,538.18","13,135.09",179.955,"3,702",750
Goa,"Jan 1, 2020","1,392.23","11,561.90",-145.944,"3,702",742
Goa,"Jan 1, 2021","1,312.50","12,090.99",-79.734,"3,702",812
Gujarat,"Jan 1, 2013","1,75,371.87","4,72,570.61","1,75,371.87","1,96,024",8076
Gujarat,"Jan 1, 2014","1,85,528.15","4,72,202.95","10,156.28","1,96,024",9218
Gujarat,"Jan 1, 2015","2,00,307.27","5,23,649.43","14,779.11","1,96,024",10290
Gujarat,"Jan 1, 2016","2,36,626.13","4,79,194.33","36,318.87","1,96,024",11672
Gujarat,"Jan 1, 2017","2,28,662.69","6,59,841.48","-7,963.44","1,96,024",13291
Gujarat,"Jan 1, 2018","2,27,359.31","6,71,515.67","-1,303.38","1,96,024",14922
Gujarat,"Jan 1, 2019","2,39,654.88","6,79,080.24","12,295.58","1,96,024",16171
Gujarat,"Jan 1, 2020","2,36,387.29","7,38,116.43","-3,267.60","1,96,024",16161
Gujarat,"Jan 1, 2021","2,30,836.25","7,78,461.55","-5,551.04","1,96,024",19209
Haryana,"Jan 1, 2013","1,06,855.22","3,57,901.76","1,06,855.22","44,212",3993
Haryana,"Jan 1, 2014","1,07,210.60","3,49,513.81",355.378,"44,212",4371
Haryana,"Jan 1, 2015","1,07,599.88","2,95,719.45",389.284,"44,212",4955
Haryana,"Jan 1, 2016","1,01,553.41","2,66,768.41","-6,046.48","44,212",5614
Haryana,"Jan 1, 2017","1,03,049.56","3,22,108.63","1,496.15","44,212",6388
Haryana,"Jan 1, 2018","1,02,141.00","3,32,870.22",-908.556,"44,212",6989
Haryana,"Jan 1, 2019","1,05,086.21","3,39,836.16","2,945.21","44,212",7381
Haryana,"Jan 1, 2020","1,04,757.62","3,51,160.48",-328.597,"44,212",7291
Haryana,"Jan 1, 2021","1,08,347.74","3,77,413.29","3,590.12","44,212",8689
Himachal Pradesh,"Jan 1, 2013",999.559,"32,925.05",999.559,"55,673",948
Himachal Pradesh,"Jan 1, 2014","1,024.52","29,529.77",24.965,"55,673",1038
Himachal Pradesh,"Jan 1, 2015","1,061.91","28,322.15",37.388,"55,673",1142
Himachal Pradesh,"Jan 1, 2016","1,049.76","24,462.90",-12.153,"55,673",1256
Himachal Pradesh,"Jan 1, 2017","1,291.64","39,791.51",241.885,"55,673",1386
Himachal Pradesh,"Jan 1, 2018","1,273.21","35,168.20",-18.43,"55,673",1484
Himachal Pradesh,"Jan 1, 2019","1,295.31","33,769.18",22.092,"55,673",1592
Himachal Pradesh,"Jan 1, 2020","1,228.31","37,562.40",-66.999,"55,673",1516
Himachal Pradesh,"Jan 1, 2021","1,420.47","40,852.84",192.168,"55,673",1722
Jharkhand,"Jan 1, 2013","62,226.56","1,96,936.13","62,226.56","79,716",1886
Jharkhand,"Jan 1, 2014","60,938.77","1,91,982.40","-1,287.79","79,716",2185
Jharkhand,"Jan 1, 2015","59,557.03","2,23,776.09","-1,381.74","79,716",2066
Jharkhand,"Jan 1, 2016","60,581.99","2,09,404.90","1,024.96","79,716",2362
Jharkhand,"Jan 1, 2017","60,021.66","2,88,943.21",-560.331,"79,716",2698
Jharkhand,"Jan 1, 2018","59,276.60","3,00,226.32",-745.064,"79,716",3057
Jharkhand,"Jan 1, 2019","54,837.44","2,85,841.43","-4,439.16","79,716",3103
Jharkhand,"Jan 1, 2020","62,596.01","3,47,775.00","7,758.57","79,716",2967
Jharkhand,"Jan 1, 2021","57,600.30","3,49,631.70","-4,995.71","79,716",3761
Karnataka,"Jan 1, 2013","1,98,606.72","4,64,582.31","1,98,606.72","1,91,791",8167
Karnataka,"Jan 1, 2014","2,03,865.72","4,67,817.52","5,259.00","1,91,791",9139
Karnataka,"Jan 1, 2015","2,20,108.63","5,41,732.62","16,242.92","1,91,791",10452
Karnataka,"Jan 1, 2016","2,20,746.76","4,74,037.38",638.122,"1,91,791",12076
Karnataka,"Jan 1, 2017","2,29,983.38","6,38,865.44","9,236.62","1,91,791",13332
Karnataka,"Jan 1, 2018","2,28,092.30","6,58,957.64","-1,891.08","1,91,791",14794
Karnataka,"Jan 1, 2019","2,33,608.29","6,71,994.24","5,515.99","1,91,791",16158
Karnataka,"Jan 1, 2020","2,25,819.73","7,64,883.70","-7,788.57","1,91,791",16415
Karnataka,"Jan 1, 2021","2,19,935.63","7,94,277.24","-5,884.10","1,91,791",19781
Kerala,"Jan 1, 2013","11,188.68","34,452.06","11,188.68","38,863",4650
Kerala,"Jan 1, 2014","12,235.34","35,968.40","1,046.66","38,863",5126
Kerala,"Jan 1, 2015","12,792.72","42,193.55",557.377,"38,863",5620
Kerala,"Jan 1, 2016","13,687.93","40,890.03",895.215,"38,863",6349
Kerala,"Jan 1, 2017","15,674.53","53,235.73","1,986.60","38,863",7016
Kerala,"Jan 1, 2018","18,275.99","56,573.52","2,601.46","38,863",7883
Kerala,"Jan 1, 2019","18,565.13","61,813.93",289.14,"38,863",8129
Kerala,"Jan 1, 2020","17,281.27","67,239.30","-1,283.86","38,863",7717
Kerala,"Jan 1, 2021","19,545.80","75,273.99","2,264.53","38,863",9245
Madhya Pradesh,"Jan 1, 2013","1,20,783.82","6,66,041.14","1,20,783.82","3,08,252",4395
Madhya Pradesh,"Jan 1, 2014","1,21,221.35","6,40,311.00",437.528,"3,08,252",4799
Madhya Pradesh,"Jan 1, 2015","1,26,790.28","7,17,357.47","5,568.93","3,08,252",5411
Madhya Pradesh,"Jan 1, 2016","1,32,810.30","6,69,088.28","6,020.03","3,08,252",6498
Madhya Pradesh,"Jan 1, 2017","1,33,775.04","10,37,043.86",964.737,"3,08,252",7263
Madhya Pradesh,"Jan 1, 2018","1,43,346.65","10,74,327.45","9,571.61","3,08,252",8298
Madhya Pradesh,"Jan 1, 2019","1,43,885.34","11,04,897.92",538.696,"3,08,252",9279
Madhya Pradesh,"Jan 1, 2020","1,40,749.13","12,05,442.16","-3,136.22","3,08,252",9466
Madhya Pradesh,"Jan 1, 2021","1,45,564.80","12,49,241.10","4,815.68","3,08,252",10930
Maharashtra,"Jan 1, 2013","2,46,602.15","6,88,101.09","2,46,602.15","3,07,713",16496
Maharashtra,"Jan 1, 2014","2,46,036.92","6,48,727.12",-565.222,"3,07,713",17791
Maharashtra,"Jan 1, 2015","2,52,342.65","7,72,918.56","6,305.72","3,07,713",19662
Maharashtra,"Jan 1, 2016","2,72,926.25","6,96,116.67","20,583.60","3,07,713",21982
Maharashtra,"Jan 1, 2017","2,68,161.81","10,03,093.56","-4,764.44","3,07,713",23528
Maharashtra,"Jan 1, 2018","2,89,424.78","10,37,504.08","21,262.97","3,07,713",25289
Maharashtra,"Jan 1, 2019","3,08,290.74","11,06,422.54","18,865.97","3,07,713",26568
Maharashtra,"Jan 1, 2020","2,94,869.12","12,58,295.79","-13,421.63","3,07,713",26107
Maharashtra,"Jan 1, 2021","2,82,970.50","12,82,910.65","-11,898.61","3,07,713",31441
Manipur,"Jan 1, 2013","1,237.30","5,249.50","1,237.30","22,327",162
Manipur,"Jan 1, 2014","1,655.58","5,631.83",418.278,"22,327",181
Manipur,"Jan 1, 2015","1,431.89","6,329.38",-223.689,"22,327",195
Manipur,"Jan 1, 2016","1,658.45","8,880.87",226.562,"22,327",213
Manipur,"Jan 1, 2017","1,899.63","11,705.01",241.18,"22,327",258
Manipur,"Jan 1, 2018","1,951.87","12,141.84",52.245,"22,327",274
Manipur,"Jan 1, 2019","2,040.19","12,159.35",88.316,"22,327",298
Manipur,"Jan 1, 2020","2,081.80","13,509.53",41.614,"22,327",298
Manipur,"Jan 1, 2021","2,103.54","14,230.18",21.741,"22,327",350
Meghalaya,"Jan 1, 2013","1,596.17","4,087.41","1,596.17","22,429",229
Meghalaya,"Jan 1, 2014","1,392.27","3,350.22",-203.9,"22,429",232
Meghalaya,"Jan 1, 2015","1,405.35","4,472.68",13.073,"22,429",251
Meghalaya,"Jan 1, 2016","1,467.97","4,463.59",62.626,"22,429",274
Meghalaya,"Jan 1, 2017","1,397.39","5,559.71",-70.582,"22,429",295
Meghalaya,"Jan 1, 2018","1,407.14","6,078.47",9.755,"22,429",322
Meghalaya,"Jan 1, 2019","1,242.73","5,063.90",-164.415,"22,429",348
Meghalaya,"Jan 1, 2020","1,245.49","4,837.64",2.764,"22,429",338
Meghalaya,"Jan 1, 2021","1,212.09","5,466.74",-33.4,"22,429",402
Mizoram,"Jan 1, 2013",176.411,"1,027.67",176.411,"21,081",103
Mizoram,"Jan 1, 2014",171.406,951.25,-5.005,"21,081",135
Mizoram,"Jan 1, 2015",145.345,949.444,-26.061,"21,081",151
Mizoram,"Jan 1, 2016",155.332,718.376,9.987,"21,081",172
Mizoram,"Jan 1, 2017",140.451,674.403,-14.881,"21,081",194
Mizoram,"Jan 1, 2018",144.501,574.875,4.049,"21,081",219
Mizoram,"Jan 1, 2019",152.444,547.211,7.943,"21,081",250
Mizoram,"Jan 1, 2020",155.709,625.657,3.265,"21,081",239
Mizoram,"Jan 1, 2021",150.795,676.296,-4.914,"21,081",267
Nagaland,"Jan 1, 2013",484.514,"3,838.88",484.514,"16,579",166
Nagaland,"Jan 1, 2014",510.147,"4,342.06",25.633,"16,579",184
Nagaland,"Jan 1, 2015",491.231,"4,265.44",-18.916,"16,579",195
