state_name,system:time_start,Urban_SOL,Agriculture_SOL,Urban_SOL_Change,Area (km²),GSDP(INR billions)
Nagaland,"Jan 1, 2016",483.535,"3,907.14",-7.696,"16,579",217
Nagaland,"Jan 1, 2017",433.564,"3,888.16",-49.971,"16,579",244
Nagaland,"Jan 1, 2018",446.184,"3,768.79",12.62,"16,579",265
Nagaland,"Jan 1, 2019",467.001,"4,152.01",20.817,"16,579",297
Nagaland,"Jan 1, 2020",483.633,"4,347.06",16.632,"16,579",298
Nagaland,"Jan 1, 2021",456.109,"4,536.83",-27.524,"16,579",323
Odisha,"Jan 1, 2013","40,949.53","2,96,714.75","40,949.53","1,55,707",2965
Odisha,"Jan 1, 2014","42,401.13","2,96,682.33","1,451.60","1,55,707",3142
Odisha,"Jan 1, 2015","45,841.78","3,48,262.40","3,440.65","1,55,707",3285
Odisha,"Jan 1, 2016","45,624.45","2,94,263.65",-217.334,"1,55,707",3928
Odisha,"Jan 1, 2017","44,966.45","3,97,106.97",-657.997,"1,55,707",4404
Odisha,"Jan 1, 2018","44,244.73","4,11,756.51",-721.723,"1,55,707",4986
Odisha,"Jan 1, 2019","44,396.32","3,81,931.55",151.594,"1,55,707",5375
Odisha,"Jan 1, 2020","46,789.18","4,41,715.52","2,392.86","1,55,707",5402
Odisha,"Jan 1, 2021","44,901.05","4,69,678.00","-1,888.13","1,55,707",6970
Punjab,"Jan 1, 2013","1,87,511.55","7,73,247.30","1,87,511.55","50,362",3321
Punjab,"Jan 1, 2014","1,84,185.93","6,93,018.43","-3,325.63","50,362",3551
Punjab,"Jan 1, 2015","1,97,082.08","6,99,656.86","12,896.15","50,362",3901
Punjab,"Jan 1, 2016","2,10,081.25","7,00,245.94","12,999.18","50,362",4270
Punjab,"Jan 1, 2017","2,46,314.74","9,90,636.12","36,233.49","50,362",4710
Punjab,"Jan 1, 2018","2,51,125.05","9,86,049.13","4,810.31","50,362",5125
Punjab,"Jan 1, 2019","2,45,585.75","9,50,535.92","-5,539.30","50,362",5370
Punjab,"Jan 1, 2020","2,41,219.21","10,02,001.10","-4,366.54","50,362",5409
Punjab,"Jan 1, 2021","2,67,331.98","11,18,588.69","26,112.77","50,362",6277
Rajasthan,"Jan 1, 2013","1,50,887.41","7,48,216.07","1,50,887.41","3,42,239",5510
Rajasthan,"Jan 1, 2014","1,50,367.86","7,55,077.22",-519.547,"3,42,239",6156
Rajasthan,"Jan 1, 2015","1,55,282.07","8,07,270.19","4,914.21","3,42,239",6815
Rajasthan,"Jan 1, 2016","1,60,730.78","7,26,270.25","5,448.70","3,42,239",7606
Rajasthan,"Jan 1, 2017","1,61,824.40","9,48,078.58","1,093.62","3,42,239",8325
Rajasthan,"Jan 1, 2018","1,64,301.66","9,31,072.25","2,477.26","3,42,239",9115
Rajasthan,"Jan 1, 2019","1,63,075.23","9,12,685.22","-1,226.43","3,42,239",10000
Rajasthan,"Jan 1, 2020","1,54,529.35","9,59,991.67","-8,545.87","3,42,239",10179
Rajasthan,"Jan 1, 2021","1,62,666.57","9,84,567.17","8,137.21","3,42,239",11950
Sikkim,"Jan 1, 2013",0,"1,915.97",0,"7,096",139
Sikkim,"Jan 1, 2014",0,"1,576.14",0,"7,096",154
Sikkim,"Jan 1, 2015",0,"1,934.75",0,"7,096",180
Sikkim,"Jan 1, 2016",0,667.945,0,"7,096",207
Sikkim,"Jan 1, 2017",0,"2,800.54",0,"7,096",260
Sikkim,"Jan 1, 2018",0,"2,758.23",0,"7,096",284
Sikkim,"Jan 1, 2019",0,"2,589.09",0,"7,096",314
Sikkim,"Jan 1, 2020",0,"3,517.95",0,"7,096",330
Sikkim,"Jan 1, 2021",0,"3,781.11",0,"7,096",376
Tamil Nadu,"Jan 1, 2013","1,25,854.36","4,01,670.13","1,25,854.36","1,30,058",9685
Tamil Nadu,"Jan 1, 2014","1,39,331.97","4,35,512.53","13,477.61","1,30,058",10727
Tamil Nadu,"Jan 1, 2015","1,48,498.02","4,77,937.60","9,166.05","1,30,058",11765
Tamil Nadu,"Jan 1, 2016","1,51,971.87","4,31,278.57","3,473.85","1,30,058",13026
Tamil Nadu,"Jan 1, 2017","1,50,913.56","5,18,867.17","-1,058.32","1,30,058","14,651.00"
Tamil Nadu,"Jan 1, 2018","1,56,403.56","5,23,979.19","5,490.01","1,30,058","16,302.00"
Tamil Nadu,"Jan 1, 2019","1,60,930.36","5,63,009.94","4,526.79","1,30,058","17,431.00"
Tamil Nadu,"Jan 1, 2020","1,58,675.19","6,17,589.53","-2,255.17","1,30,058","17,881.00"
Tamil Nadu,"Jan 1, 2021","1,63,869.73","6,47,002.22","5,194.54","1,30,058","20,725.00"
Telangana,"Jan 1, 2013","1,55,984.92","3,26,142.44","1,55,984.92","1,12,077","4,516.00"
Telangana,"Jan 1, 2014","1,59,066.08","3,08,265.03","3,081.16","1,12,077","5,058.00"
Telangana,"Jan 1, 2015","1,68,669.10","3,44,992.11","9,603.02","1,12,077","5,779.00"
Telangana,"Jan 1, 2016","1,68,964.75","3,04,357.77",295.649,"1,12,077","6,583.00"
Telangana,"Jan 1, 2017","1,60,178.41","4,11,517.38","-8,786.34","1,12,077","7,501.00"
Telangana,"Jan 1, 2018","1,55,594.88","4,53,325.99","-4,583.53","1,12,077","8,574.00"
Telangana,"Jan 1, 2019","1,54,917.26","4,49,024.48",-677.622,"1,12,077","9,501.00"
Telangana,"Jan 1, 2020","1,55,832.67","5,27,666.11",915.414,"1,12,077","9,431.00"
Telangana,"Jan 1, 2021","1,63,609.42","5,64,338.39","7,776.74","1,12,077","11,241.00"
Tripura,"Jan 1, 2013","1,678.06","16,065.46","1,678.06","10,491",256.00
Tripura,"Jan 1, 2014","1,627.96","17,273.59",-50.095,"10,491",295.00
Tripura,"Jan 1, 2015","1,738.05","19,480.37",110.089,"10,491",359.00
Tripura,"Jan 1, 2016","1,336.14","16,644.06",-401.908,"10,491",395.00
Tripura,"Jan 1, 2017","1,243.30","16,936.62",-92.847,"10,491",437.00
Tripura,"Jan 1, 2018","1,491.93","19,950.12",248.634,"10,491",498.00
Tripura,"Jan 1, 2019","1,289.14","18,219.78",-202.788,"10,491",542.00
Tripura,"Jan 1, 2020","1,223.51","17,260.38",-65.632,"10,491",535.00
Tripura,"Jan 1, 2021","1,487.19","17,522.58",263.682,"10,491",623.00
Uttar Pradesh,"Jan 1, 2013","3,65,626.60","8,46,658.44","3,65,626.60","2,40,928","9,404.00"
Uttar Pradesh,"Jan 1, 2014","3,52,845.16","8,72,690.67","-12,781.43","2,40,928","10,118.00"
Uttar Pradesh,"Jan 1, 2015","3,77,163.27","9,28,885.87","24,318.11","2,40,928","11,378.00"
Uttar Pradesh,"Jan 1, 2016","3,84,019.70","10,83,862.73","6,856.43","2,40,928","12,887.00"
Uttar Pradesh,"Jan 1, 2017","4,00,625.81","15,63,242.84","16,606.11","2,40,928","14,399.00"
Uttar Pradesh,"Jan 1, 2018","3,83,943.44","15,12,208.83","-16,682.38","2,40,928","15,822.00"
Uttar Pradesh,"Jan 1, 2019","3,72,874.71","14,73,731.42","-11,068.73","2,40,928","17,001.00"
Uttar Pradesh,"Jan 1, 2020","3,69,748.69","14,63,954.00","-3,126.02","2,40,928","16,449.00"
Uttar Pradesh,"Jan 1, 2021","3,81,862.63","15,37,654.67","12,113.94","2,40,928","19,756.00"
Uttarakhand,"Jan 1, 2013","3,65,626.60","8,46,658.44","3,65,626.60","53,483","1,491.00"
Uttarakhand,"Jan 1, 2014","3,52,845.16","8,72,690.67","-12,781.43","53,483","1,614.00"
Uttarakhand,"Jan 1, 2015","3,77,163.27","9,28,885.87","24,318.11","53,483","1,772.00"
Uttarakhand,"Jan 1, 2016","3,84,019.70","10,83,862.73","6,856.43","53,483","1,951.00"
Uttarakhand,"Jan 1, 2017","4,00,625.81","15,63,242.84","16,606.11","53,483","2,202.00"
Uttarakhand,"Jan 1, 2018","3,83,943.44","15,12,208.83","-16,682.38","53,483","2,303.00"
Uttarakhand,"Jan 1, 2019","3,72,874.71","14,73,731.42","-11,068.73","53,483","2,393.00"
Uttarakhand,"Jan 1, 2020","3,69,748.69","14,63,954.00","-3,126.02","53,483","2,256.00"
Uttarakhand,"Jan 1, 2021","3,81,862.63","15,37,654.67","12,113.94","53,483","2,671.00"
West Bengal,"Jan 1, 2013","1,45,407.02","3,03,972.28","1,45,407.02","88,752","6,768.00"
West Bengal,"Jan 1, 2014","1,38,191.09","3,03,958.94","-7,215.93","88,752","7,181.00"
West Bengal,"Jan 1, 2015","1,38,705.81","3,48,690.23",514.723,"88,752","7,973.00"
West Bengal,"Jan 1, 2016","1,33,849.45","3,21,364.42","-4,856.36","88,752","8,725.00"
West Bengal,"Jan 1, 2017","1,30,390.92","4,10,362.18","-3,458.53","88,752","9,747.00"
West Bengal,"Jan 1, 2018","1,44,782.36","4,14,578.60","14,391.44","88,752","11,021.00"
West Bengal,"Jan 1, 2019","1,47,051.52","3,85,665.66","2,269.16","88,752","11,791.00"
West Bengal,"Jan 1, 2020","1,45,854.67","4,18,125.82","-1,196.85","88,752","11,418.00"
West Bengal,"Jan 1, 2021","1,47,393.57","4,38,118.79","1,538.90","88,752","13,292.00"
Andaman and Nicobar Islands,"Jan 1, 2013",527.524,684.508,527.524,"8,249",50.00
Andaman and Nicobar Islands,"Jan 1, 2014",647.391,793.21,119.867,"8,249",55.00
Andaman and Nicobar Islands,"Jan 1, 2015",585.879,841.381,-61.512,"8,249",60.00
Andaman and Nicobar Islands,"Jan 1, 2016",619.947,740.015,34.068,"8,249",68.00
Andaman and Nicobar Islands,"Jan 1, 2017",554.724,862.271,-65.223,"8,249",79.00
Andaman and Nicobar Islands,"Jan 1, 2018",619.168,874.249,64.444,"8,249",90.00
Andaman and Nicobar Islands,"Jan 1, 2019",732.547,738.345,113.379,"8,249",98.00
Andaman and Nicobar Islands,"Jan 1, 2020",712.945,"1,138.69",-19.602,"8,249",93.00
Andaman and Nicobar Islands,"Jan 1, 2021",640.691,847.42,-72.255,"8,249",104.00
Chandigarh,"Jan 1, 2013","9,536.47",518.142,"9,536.47",114,248.00
Chandigarh,"Jan 1, 2014","10,019.14",423.981,482.673,114,265.00
Chandigarh,"Jan 1, 2015","10,264.04",440.016,244.898,114,293.00
Chandigarh,"Jan 1, 2016","10,270.93",417.425,6.886,114,324.00
Chandigarh,"Jan 1, 2017","10,782.84",438.089,511.911,114,363.00
Chandigarh,"Jan 1, 2018","10,464.50",441.644,-318.337,114,401.00
Chandigarh,"Jan 1, 2019","10,298.43",441.79,-166.066,114,434.00
Chandigarh,"Jan 1, 2020","9,930.97",405.26,-367.464,114,394.00
Chandigarh,"Jan 1, 2021","11,059.32",473.367,"1,128.35",114,461.00
Daman and Diu,"Jan 1, 2013",854.844,"2,302.64",854.844,603,
Daman and Diu,"Jan 1, 2014",837.849,"2,123.65",-16.996,603,
Daman and Diu,"Jan 1, 2015",826.375,"2,218.11",-11.474,603,
Daman and Diu,"Jan 1, 2016",888.876,"2,167.07",62.501,603,
Daman and Diu,"Jan 1, 2017",905.38,"2,203.49",16.504,603,
Daman and Diu,"Jan 1, 2018",923.779,"2,048.72",18.399,603,
Daman and Diu,"Jan 1, 2019",874.47,"1,964.88",-49.308,603,
Daman and Diu,"Jan 1, 2020",818.428,"1,847.18",-56.042,603,
Daman and Diu,"Jan 1, 2021",783.713,"1,716.23",-34.715,603,
Delhi,"Jan 1, 2013","2,06,812.01","26,030.78","2,06,812.01","1,484","4,440.00"
Delhi,"Jan 1, 2014","2,08,559.78","26,863.98","1,747.77","1,484","4,948.00"
Delhi,"Jan 1, 2015","2,10,143.08","27,471.86","1,583.29","1,484","5,508.00"
Delhi,"Jan 1, 2016","1,87,750.60","25,844.73","-22,392.48","1,484","6,161.00"
Delhi,"Jan 1, 2017","1,87,649.42","27,144.70",-101.181,"1,484","6,779.00"
Delhi,"Jan 1, 2018","1,81,794.71","27,094.57","-5,854.71","1,484","7,384.00"
Delhi,"Jan 1, 2019","1,73,316.98","27,533.71","-8,477.72","1,484","7,929.00"
Delhi,"Jan 1, 2020","1,68,928.38","26,333.03","-4,388.60","1,484","7,443.00"
Delhi,"Jan 1, 2021","1,68,815.95","27,075.70",-112.432,"1,484","8,813.00"
Jammu and Kashmir,"Jan 1, 2013","22,766.83","94,706.58","22,766.83","42,241",956.00
Jammu and Kashmir,"Jan 1, 2014","21,407.23","89,871.81","-1,359.60","42,241",984.00
Jammu and Kashmir,"Jan 1, 2015","21,580.30","82,922.58",173.062,"42,241","1,172.00"
Jammu and Kashmir,"Jan 1, 2016","20,948.77","79,856.97",-631.521,"42,241","1,248.00"
Jammu and Kashmir,"Jan 1, 2017","23,163.38","1,08,143.80","2,214.60","42,241","1,397.00"
Jammu and Kashmir,"Jan 1, 2018","22,390.64","99,560.31",-772.737,"42,241","1,599.00"
Jammu and Kashmir,"Jan 1, 2019","21,666.34","94,854.69",-724.304,"42,241","1,641.00"
Jammu and Kashmir,"Jan 1, 2020","24,514.47","1,01,668.90","2,848.13","42,241","1,678.00"
Jammu and Kashmir,"Jan 1, 2021","25,725.77","1,09,345.24","1,211.31","42,241","1,886.00"
Lakshadweep,"Jan 1, 2013",0,0,0,32,
Lakshadweep,"Jan 1, 2014",0,0,0,32,
Lakshadweep,"Jan 1, 2015",0,0,0,32,
Lakshadweep,"Jan 1, 2016",0,0,0,32,
Lakshadweep,"Jan 1, 2017",0,0,0,32,
Lakshadweep,"Jan 1, 2018",0,0,0,32,
Lakshadweep,"Jan 1, 2019",0,0,0,32,
Lakshadweep,"Jan 1, 2020",0,0,0,32,
Lakshadweep,"Jan 1, 2021",0,0,0,32,
Puducherry,"Jan 1, 2013","3,755.20","5,026.21","3,755.20",479,219.00
Puducherry,"Jan 1, 2014","3,890.97","5,223.41",135.776,479,226
Puducherry,"Jan 1, 2015","3,724.64","4,785.81",-166.331,479,266
Puducherry,"Jan 1, 2016","3,875.65","4,438.35",151.009,479,296
Puducherry,"Jan 1, 2017","3,897.90","4,764.02",22.249,479,321
Puducherry,"Jan 1, 2018","3,723.53","4,652.54",-174.371,479,342
Puducherry,"Jan 1, 2019","3,706.59","4,966.88",-16.94,479,370
Puducherry,"Jan 1, 2020","3,546.51","4,839.06",-160.078,479,362
Puducherry,"Jan 1, 2021","3,309.91","4,597.54",-236.602,479,409
